branch,y,depth,approximation,error_lower,error_upper,reported_scale,ratio_lower,ratio_upper
large,5,2,4.849,0.0577121525220799967,0.0577121525220799967,0.01,5.77121525220799967,5.77121525220799967
large,10,2,9.924875,0.0258955144336438036,0.0258955144336438036,0.0025,10.3582057734575214,10.3582057734575214
large,20,2,19.962484375,0.0126100039338004527,0.0126100039338004527,0.000625,20.1760062940807242,20.1760062940807242
large,50,2,49.984999,0.00500700640640717661,0.00500700640640717661,0.0001,50.0700640640717661,50.0700640640717661
large,100,2,99.992499875,0.00250087520005001400,0.00250087520005001400,0.000025,100.035008002000560,100.035008002000560
large,1000,2,999.999249999875,0.000250000875002000005,0.000250000875002000005,2.5E-7,1000.00350000800002,1000.00350000800002
small,5,2,0.17752,0.0311921525220799967,0.0311921525220799967,0.0001,311.921525220799967,311.921525220799967
small,10,2,0.087813125,0.0132073894336438036,0.0132073894336438036,0.00000625,2113.18230938300858,2113.18230938300858
small,20,2,0.04378908203125,0.00633654690255045266,0.00633654690255045266,3.90625E-7,16221.5600705291588,16221.5600705291588
small,50,2,0.0175025002,0.00250550620640717661,0.00250550620640717661,1E-8,250550.620640717661,250550.620640717661
small,100,2,0.00875031250625,0.00125068769380001400,0.00125068769380001400,6.25E-10,2001100.31008002241,2001100.31008002241
small,1000,2,0.0008750003125000625,0.000125000687501937505,0.000125000687501937505,6.25E-14,2000011000.03100008,2000011000.03100008
