m,delta,baseline_point_relative_width,reciprocal_relative_width,baseline_affine_relative_width,fused_affine_relative_width
20,9.5367431640625e-7,3883.601851884276,7.105427357601002e-15,3.552713678800501e-15,3.552713678800501e-15
50,8.881784197001252e-16,4169999654980.0,7.105427357601002e-15,8.0,3.552713678800501e-15
100,7.888609052210118e-31,4.695002223071253e+27,7.105427357601002e-15,9007199254740992.0,3.552713678800501e-15
200,6.223015277861142e-61,5.951622386149145e+57,7.105427357601002e-15,1.141798154164768e+46,3.552713678800501e-15
500,3.054936363499605e-151,1.212366891814351e+148,7.105427357601002e-15,2.325883917745942e+136,3.552713678800501e-15
1000,9.332636185032189e-302,3.968550396989333e+298,7.105427357601002e-15,7.613526571406249e+286,3.552713678800501e-15
