q,a,order,lower_decimal_display_only,upper_decimal_display_only,width_decimal_display_only
1/2,10,1,0.1818181818181818,0.1846153846153846,2.79720280e-03
1/2,10,2,0.1842105263157895,0.1843137254901961,1.03199174e-04
1/2,10,3,0.1842948717948718,0.1843010752688172,6.20347395e-06
1/2,10,4,0.1842997626314005,0.1843002703264712,5.07695071e-07
1/2,10,6,0.1843001897380001,0.1843001959281029,6.19010282e-09
9/10,10,1,0.5263157894736842,0.6896551724137931,1.63339383e-01
9/10,10,2,0.6012658227848101,0.6435643564356436,4.22985337e-02
9/10,10,3,0.6188322368421053,0.6325521786891248,1.37199418e-02
9/10,10,4,0.6241031989421264,0.6292215210230361,5.11832208e-03
9/10,10,6,0.6266676240165351,0.6275991582965554,9.31534280e-04
1/2,1/2,1,1.333333333333333,2.857142857142857,1.52380952e+00
1/2,1/2,2,1.894736842105263,2.613333333333333,7.18596491e-01
1/2,1/2,3,2.17989417989418,2.538108356290175,3.58214176e-01
1/2,1/2,4,2.329873125720876,2.511061173533084,1.81188048e-01
1/2,1/2,6,2.449731969908554,2.496177852207213,4.64458823e-02
