depth,y,error,source_predicted_scale,ratio,proven_ratio_lower_bound
0,5,0.223143551314209756,0.00134758939981709342,165.587196919548895,148.413159102576603
0,10,0.105360515657826301,4.53999297624848515e-6,23207.197942603085,22026.4657948067165
0,20,0.0512932943875505334,1.03057681121927891e-10,497714423.89495707,485165195.409790278
1,5,0.0231435513142097558,1.81599719049939406e-6,12744.2660348198804,11013.2328974033583
1,10,0.00536051565782630123,2.06115362243855783e-11,260073562.662653791,242582597.704895139
1,20,0.00129329438755053343,1.06208856382289725e-20,121768977804961059.0,117692633418509993.0
3,5,0.0004768846475430891,3.29784579590169252e-12,144604895.758232366,121291298.852447569
3,10,0.0000271823244929678942,4.248354255291589e-22,63983187040277117.5,58846316709254996.4
3,20,1.62772088386675953e-6,1.12803211740338448e-40,1.4429738823515131e+34,1.38515559609837751e+34
