y,depth,true_error,reported_scale,error_over_reported_scale,scope
5,1,0.0231435513142097557662950903098345033746,0.000001815997190499394061423660622422024409517,12744.26603481988041584072007556893956641,Independent evaluation of proved formulas; not additional package runs
10,1,0.00536051565782630122750098083931279830612,0.00000000002061153622438557827965940380155820976376,260073562.6626537912647642268723872529484,Independent evaluation of proved formulas; not additional package runs
20,1,0.001293294387550533426196144254687238439222,1.06208856382289724883230869571466450447e-20,121768977804961059.3450948495818851406747,Independent evaluation of proved formulas; not additional package runs
50,1,0.0002027073175194484080453010241923878525334,1.488030390408334385183878321545247334944e-47,1.362252537488988735029978703875298436985e+43,Independent evaluation of proved formulas; not additional package runs
