t,x,log_error_over_x2,exp_error_over_x2,sqrt_error_over_x2,reciprocal_error_over_x2,F03_export_error_over_x2
5,0.00673794699908546709663605,-11.7531982523706375539808,13.3276938650903515258938,-2.67013999720347970680055,24.8007137896098615317474,-5
10,0.0000453999297624848515355915,-49.0146842602020246935344,50.9919803085501919582682,-12.0027247627764047550608,99.0445119354086920650002,-10
20,2.06115362243855782796594e-9,-199.000005455186755624341,200.999997210572126807308,-49.5000010202710693412055,399.000016406783509253852,-20
40,4.24835425529158899532923e-18,-799.000000000000090461623,800.999999999999954514287,-199.500000000000016950933,1599.0000000000002715548,-40
80,1.80485138784541517231213e-35,-3199.0,3201.0,-799.5,6399.0,-80
